"SYMBOL","OPEN","HIGH ","LOW","PREV. CLOSE","LTP ","CHNG","%CHNG","VOLUME (shares)",VALUE ,"52W H","52W L","365 D % CHNG 01-Sep-2020","30 D % CHNG 
 02-Aug-2021"
MCX,"1,506.50","1,557.00","1,502.05","1,501.05","1,552.45",51.4,3.42,673067,"1,02,91,26,173.67","1,875.00","1,432.30",-3.2,-5.71
IRCTC,"2,746.00","2,858.00","2,743.00","2,746.25","2,833.05",86.8,3.16,2462818,"6,94,78,80,487.98","2,858.00","1,290.05",103.2,11.23
TCS,"3,734.00","3,859.15","3,722.00","3,714.95","3,827.90",112.95,3.04,3403717,"12,92,76,91,574.87","3,859.15","2,241.30",65.38,15.39
MGL,"1,150.00","1,185.00","1,150.00","1,150.00","1,184.50",34.5,3,476006,"55,89,83,365.92","1,284.40",779.65,26.95,-3.02
ICICIPRULI,658,680,651,658.45,678,19.55,2.97,6392642,"4,26,15,90,862.88",694.5,397.55,53.04,3.88
BALKRISIND,"2,339.00","2,409.00","2,326.40","2,329.70","2,395.00",65.3,2.8,773514,"1,83,42,72,423.90","2,559.20","1,237.50",74.4,-6.79
MARICO,548.75,572,548.25,547.3,562,14.7,2.69,6119217,"3,45,87,03,832.74",572,333,46.53,2.2
GODREJCP,"1,091.10","1,129.30","1,091.10","1,097.85","1,127.05",29.2,2.66,1503286,"1,68,08,09,043.74","1,129.30",641,66.8,10.63
JUBLFOOD,"4,011.70","4,133.25","4,004.10","4,002.65","4,107.00",104.35,2.61,675409,"2,76,56,71,527.29","4,164.00","2,097.00",86.27,7.2
M&MFIN,162.05,166.75,161.5,162.05,166.25,4.2,2.59,10863034,"1,79,21,83,349.32",224.3,112.7,20.84,6.72
VEDL,305,309.25,300,298.05,305.7,7.65,2.57,33332582,"10,16,97,70,768.20",341.45,91.2,125.8,-4.85
